시도,구시,동,단지,거래수,제곱미터당,금액중간,면적중간,건축년도,최근연
경기,평택시,신장동,메디슨스퀘어3차,6,2456415,188500000,76.1,2018,2026
경기,평택시,신장동,문영프라임,4,2364087,133000000,56.3,2015,2025
경기,평택시,신장동,미도,15,1547389,72000000,46.5,1986,2026
경기,평택시,신장동,미래타운,2,1767692,132500000,75.4,2015,2026
경기,평택시,신장동,송탄역서희스타힐스,52,3698815,305000000,84.6,2019,2026
경기,평택시,신장동,신미,2,845666,40000000,47.3,1988,2025
경기,평택시,신장동,일신가든,2,963524,56000000,58.1,1985,2026
경기,평택시,신장동,청솔아다모,2,2680067,128000000,47.8,2015,2026
경기,평택시,신장동,평택송탄역클래시아,4,3515821,70000000,19.9,2017,2026
경기,평택시,신장동,한도,7,1211650,70000000,68.8,1979,2026
경기,평택시,신장동,화신노블레스2,1,1852710,120000000,64.8,2015,2025
경기,평택시,신장동,힐탑포레스트,4,2192817,67500000,31.8,2015,2026
경기,평택시,안중읍 금곡리,우림,87,1981070,90000000,50.0,1999,2026
경기,평택시,안중읍 송담리,송담지엔하임1차,63,4007561,295000000,74.9,2018,2026
경기,평택시,안중읍 송담리,송담지엔하임2차,39,3852396,240000000,59.7,2018,2026
경기,평택시,안중읍 송담리,"신창(1동,2동,3동)",15,1585315,95000000,59.9,1999,2026
경기,평택시,안중읍 송담리,힐스테이트송담,77,3943496,255000000,59.9,2016,2026
경기,평택시,안중읍 안중리,명원,1,807855,65000000,80.5,1996,2026
경기,평택시,안중읍 안중리,신세계고대광실,1,1152605,100000000,86.8,1994,2025
경기,평택시,안중읍 학현리,광성,2,1003412,50000000,49.8,1989,2026
경기,평택시,안중읍 학현리,다인,6,959797,79500000,82.8,1994,2026
경기,평택시,안중읍 현화리,건영캐스빌,64,2295468,189000000,85.0,2005,2026
경기,평택시,안중읍 현화리,늘푸른사랑마을,139,2238183,134000000,59.9,1999,2026
경기,평택시,안중읍 현화리,동신사랑마을,36,2312771,180440000,85.0,2003,2026
경기,평택시,안중읍 현화리,동신아름마을,43,2540353,215000000,84.6,2005,2026
경기,평택시,안중읍 현화리,동신행복마을,23,2118569,180000000,85.0,2003,2026
경기,평택시,안중읍 현화리,동환,13,1470048,120000000,81.6,1992,2026
경기,평택시,안중읍 현화리,서광프리메라,56,2472625,210000000,84.9,2005,2026
경기,평택시,안중읍 현화리,성원,65,2436324,145000000,59.5,2002,2026
경기,평택시,안중읍 현화리,안중우림필유골드154,11,2728883,350000000,128.3,2010,2026
경기,평택시,안중읍 현화리,한양빌리지,5,833938,69000000,84.9,1991,2026
경기,평택시,안중읍 현화리,해동마을삼익참드림,9,2125148,180000000,84.7,2004,2026
경기,평택시,안중읍 현화리,현대(3차),47,2153042,183000000,85.0,2004,2026
경기,평택시,안중읍 현화리,현대(824-5),21,2360550,200000000,84.7,2002,2026
경기,평택시,안중읍 현화리,현대아파트(현대(824-5)),32,2460838,170500000,84.7,2002,2026
경기,평택시,안중읍 현화리,화현마을우림필유,62,2484048,218500000,84.9,2005,2026
경기,평택시,오성면 숙성리,그린빌,7,1976190,165000000,83.5,2003,2026
경기,평택시,용이동,e편한세상비전센터포레,78,5513991,411500000,74.4,2022,2026
경기,평택시,용이동,e편한세상평택,68,4125140,318500000,84.6,2015,2026
경기,평택시,용이동,e편한세상평택용이1단지,67,3851136,325000000,84.9,2017,2026
경기,평택시,용이동,e편한세상평택용이2단지,29,3888758,330000000,84.9,2017,2026
경기,평택시,용이동,비전아이파크평택,37,5177080,425000000,84.9,2018,2026
경기,평택시,용이동,신영평택비전지웰푸르지오,67,6544773,560000000,84.8,2019,2026
경기,평택시,용이동,용이반도유보라,45,3419162,325000000,101.8,2010,2026
